Country,TotalCount,Percentage
Syrian Arab Republic,30,0.050908721
Malta,29,0.049211763
Tanzania,28,0.047514806
Montenegro,27,0.045817849
Azerbaijan,27,0.045817849
Zimbabwe,26,0.044120891
Cuba,23,0.039030019
Cambodia,22,0.037333062
Rwanda,22,0.037333062
Myanmar,21,0.035636104
Nicaragua,21,0.035636104
Angola,20,0.033939147
El Salvador,19,0.03224219
Panama,18,0.030545232
Kosovo,18,0.030545232
Yemen,18,0.030545232
Maldives,16,0.027151318
Honduras,16,0.027151318
Zambia,15,0.02545436
Andorra,15,0.02545436
Qatar,15,0.02545436
Mauritius,15,0.02545436
Palestine,15,0.02545436
Madagascar,14,0.023757403
Côte D'Ivoire,14,0.023757403
Isle Of Man,13,0.022060446
Malawi,12,0.020363488
Jamaica,11,0.018666531
Benin,11,0.018666531
Turkmenistan,11,0.018666531
Bahrain,11,0.018666531
Mongolia,10,0.016969574
Senegal,9,0.015272616
Somalia,9,0.015272616
Togo,9,0.015272616
Kuwait,8,0.013575659
Oman,8,0.013575659
Republic of Congo,8,0.013575659
Trinidad And Tobago,8,0.013575659
Mozambique,7,0.011878701
Tajikistan,7,0.011878701
Sudan,7,0.011878701
Barbados,6,0.010181744
Mauritania,5,0.008484787
Antigua And Barbuda,5,0.008484787
Cape Verde,5,0.008484787
Namibia,5,0.008484787
Botswana,5,0.008484787
Suriname,5,0.008484787
Burkina Faso,4,0.006787829
Liberia,4,0.006787829
Libya,4,0.006787829
Swaziland,4,0.006787829
Fiji,4,0.006787829
Liechtenstein,4,0.006787829
Lao,4,0.006787829
Bahamas,4,0.006787829
Gabon,4,0.006787829
Brunei,3,0.005090872
Guyana,3,0.005090872
North Korea,8,0.013575659
Sierra Leone,3,0.005090872
Burundi,3,0.005090872
Monaco,3,0.005090872
San Marino,3,0.005090872
Bhutan,3,0.005090872
Mali,2,0.003393915
Guinea-Bissau,2,0.003393915
Belize,2,0.003393915
Papua New Guinea,1,0.001696957
Djibouti,1,0.001696957
Chad,1,0.001696957
Dominica,1,0.001696957
Nauru,1,0.001696957
Haiti,1,0.001696957
Saint Kitts And Nevis,1,0.001696957
Lesotho,1,0.001696957
Samoa,1,0.001696957
Central African Republic,1,0.001696957
Equatorial Guinea,1,0.001696957
Niger,1,0.001696957
Guinea,1,0.001696957
Solomon Islands,1,0.001696957
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,0.005090872
,,0.005090872
,,0.005090872
,,0.003393915
,,0.003393915
,,0.003393915
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
,,0.001696957
